City,census_name,State,state_full,fips_code,Country,uuid,Year,Community Survey - Network,Community Survey - Awareness,Community Survey - Safety,Community Survey - Ridership,Community Score - Total,"Community Score - Total, Rounded",Community Survey - Responses,BNA - neighborhoods,BNA - opportunity_employment,BNA - opportunity_k12_education,BNA - opportunity_technical_vocational_college,BNA - opportunity_higher_education,BNA - opportunity,BNA - essential_services_doctors,BNA - essential_services_dentists,BNA - essential_services_hospitals,BNA - essential_services_pharmacies,BNA - essential_services_grocery,BNA - essential_services_social_services,BNA - essential_services,BNA - retail,BNA - recreation_parks,BNA - recreation_trails,BNA - recreation_community_centers,BNA - recreation,BNA - transit,BNA - overall_score,total_low_stress_miles,total_high_stress_miles,city_ratings_total,city_ratings_rounded,population,rank_country,pop_size,rank_country_size,rank_state_size,speed_limit,region,latitude,longitude
Pueblo,Pueblo city,CO,Colorado,862000,United States,ffc8c95c-bcbc-4587-81d8-2d8ff3033453,2021,45.996,43.322,49.27,75.946,53.6335,54,77,6.82,4.91,6.93,1.15,0,5.32,1.33,0,3.68,2.95,3.34,2.87,2.56,1.77,11.37,5.28,0.55,6.53,0.09,3.86,101.8,1107.1,13.8147,14,110841,624,medium,278,12,30,Mountain,38.271321,-104.610844
Lombard,Lombard village,IL,Illinois,1744407,United States,ffbaed11-58f0-4c17-aa69-e0a51e509f9d,2021,56.278,36.94,42.38,64.726,50.081,50,73,7.86,6.28,16.66,0,0,8.03,1.91,3.22,0,3.61,7.03,0,3.32,32.68,18.97,9.28,0,14.45,0.78,10.64,36.8,296.6,18.5282,19,43998,508,small,225,7,30,Midwest,41.8738441,-88.0154914
Mildura,,VIC,Victoria,,Australia,fe911e7d-0ed8-483e-bb08-8ebb8502690c,2021,40.4,33.2,45.8,74.8,48.56,49,33,37.45,,43.16,19.43,19.43,32.48,0,35.66,32.27,24.32,39.84,0,34.48,17.47,61.44,36.13,10.68,39.89,14.04,30,146.5,313.7,33.488,33,38130,23,small,10,1,31,Australia,-34.208,142.1246
Asheville,Asheville city,NC,North Carolina,3702140,United States,fe5ae74c-7635-4beb-86d1-5a5558235abf,2021,47.302,48.572,44.404,79.108,54.8465,55,105,14.27,10.6,6,4.26,18.63,9.96,2.66,0.58,9.42,6.62,11.06,3.39,6.41,10.94,12.68,16.21,2.73,11.43,0.49,8.84,83,1200.2,18.0413,18,91560,516,medium,228,4,35,South,35.570977,-82.5527383
Oviedo,,FL,Florida,1253575,United States,fe257065-1a40-4910-b615-c84a7d1b3f52,2021,0,0,0,0,0,0,0,18.18,12.57,16.42,7.79,0,10.93,0,9.44,3.71,3.05,15.62,0,9.07,20.4,39.8,5.02,16.54,21.81,0,15.36,20.2,318.1,15.36,15,40370,598,small,267,16,30,South,28.6619305,-81.1871009
Fredericksburg,Fredericksburg city,VA,Virginia,5129744,United States,fdc876d5-f864-4e26-846b-7b01cf3ee6c0,2021,42.736,47.458,45.032,78.366,53.398,53,39,28.91,21.68,23.18,14.28,36.51,24.43,17.23,18.45,3.31,0.27,9.6,4.51,9.06,24.64,37.95,22.19,15.12,26.73,12.79,20.66,200,73.7,27.2076,27,28622,318,small,135,11,25,South,38.2992718,-77.4866583
Park City,Park City city,UT,Utah,4958070,United States,fdbada48-3d9e-493b-a0d4-30e25a25e164,2021,77.38,90.03,36.384,75.744,69.8845,70,28,45.19,39.82,25.38,0,0,32.6,0,0,14.18,18.32,32.56,0,15.07,25.84,46.46,58.74,0,52.19,38.53,33.8,438.2,50.6,41.0169,41,8375,94,small,46,1,25,Mountain,40.6502829,-111.5019291
Albuquerque,Albuquerque city,NM,New Mexico,3502000,United States,fd94b0cc-fbb6-4aa9-94c3-b049e5c77096,2021,53.896,54.166,47.842,82.39,59.5735,60,139,28.8,20.51,37.45,12.26,28.16,27.14,15.59,12.28,19.69,15.41,31.47,15.29,19.99,36.93,54.62,39.34,11.62,38.52,10.65,26.66,3934.6,1296.5,33.2427,33,559374,198,large,27,1,25,Mountain,35.1047797,-106.6468093
Decatur,Decatur city,GA,Georgia,1322052,United States,fd7c9fd9-8dbe-4676-836c-631e0af48746,2021,60,50.834,46.624,57.334,53.698,54,50,6.98,6.86,18.6,16.05,0,10.52,1.21,5.07,5.8,2.53,14.56,15.4,8.11,2.76,42.76,0,0,26.31,7.28,10.23,19,140.8,18.9236,19,24002,502,small,221,5,30,South,33.771455,-84.2978566
Brandon,,MB,Manitoba,,Canada,fd783435-cf43-458a-8120-c592bf4ce634,2021,40.25,26,44,71,45.31,45,53,41.67,,56.53,0,9.36,39.88,0,9.49,22.53,15.43,27.61,46.06,26.01,33.06,71.99,56.86,24.99,54.94,10.52,34.21,83.9,421.1,36.43,36,48859,30,small,2,1,31,Canada,49.8485,-99.9501
Hummelstown,Hummelstown borough,PA,Pennsylvania,4236232,United States,fd4b86c5-0cdc-45e2-8f1c-f96087c3b4bd,2021,42.93,43.232,43.182,77.462,51.7015,52,33,25.06,5.99,16.54,0,5.94,9.07,0,0,0,0,0,0,0,4.86,29.37,0,0,15.66,0,10.18,33,7.5,18.4843,18,4688,509,small,226,18,25,Mid-Atlantic,40.2653264,-76.712873
Lafayette,Lafayette city,CA,California,639122,United States,fce9b758-c4db-4c61-9375-de3626d8dbcb,2021,50.574,28.248,43.104,74.21,49.034,49,29,23.63,19.78,27.65,31.87,0,19.79,10.89,18.61,0,0,19.94,0,9.02,9.96,52.22,36.79,8.25,35.83,3.28,16.67,252,70.8,23.1428,23,26305,405,small,177,26,25,Pacific,37.891004,-122.1195292
Columbus,Columbus city,GA,Georgia,1319000,United States,fbfa03bc-ed48-430f-9bb0-3411f82fe00e,2021,45.906,52.602,44.244,77.302,55.0135,55,114,15.94,10.56,11.72,0,8.12,9.42,4.19,0,6.63,4.44,7.04,0,5.82,3.29,7.38,7.08,0,7.24,0,8.26,118.2,2720.9,17.6107,18,195739,530,medium,234,3,30,South,32.510197,-84.874946
Columbia,Columbia city,MO,Missouri,2915670,United States,fb12b2d7-dfaa-46f3-b63c-4c7b05e7824e,2021,61.076,65.444,39.32,78.454,61.0735,61,79,39.39,28.18,28.99,40.04,40.62,32.14,21.15,40.29,43.8,14.03,28.57,16.61,28.06,25.76,50.04,47.62,0,48.91,47.85,36.33,1092.9,364.6,41.2787,41,121230,91,medium,33,1,25,Midwest,38.9472897,-92.3263872
Goleta,Goleta city,CA,California,630378,United States,fa715864-08f4-4dd0-813c-78ea1a79b732,2021,59.166,63.056,44.376,72.084,59.6705,60,30,41.4,29.06,48.6,6.87,38.1,35.49,29.43,31.25,3.34,32.69,45.71,21.41,27.59,26.19,61.44,45.4,23.44,46.33,13.68,31.76,216.8,74.4,37.3421,37,30975,147,small,67,11,25,Pacific,34.4362723,-119.854498
Corpus Christi,Corpus Christi city,TX,Texas,4817000,United States,f9e7b251-b542-47f7-832e-831fe0b6a480,2021,37.38,25.912,47.202,60,42.6235,43,105,11.94,8.3,12.61,1.48,7.61,8.99,2.55,1.27,4.4,6.02,5.46,5.2,4.26,5.94,20.71,0,11.35,17.11,0.84,8.02,87.6,2940.8,14.9407,15,325780,607,large,67,7,30,South,27.7542524,-97.1733853
Houston,Houston city,TX,Texas,4835000,United States,f9667868-ff3e-4595-a3c1-2954ca3cb392,2021,40.592,49.752,47.802,74.968,53.2785,53,256,10.33,7.82,14.37,4.48,7.09,9.63,6.35,5.33,5.63,6.22,9.02,6.53,6.79,9.86,19.24,9.34,4.56,12.11,3.1,8.59,1219.6,15097.8,17.5277,18,2310432,531,large,60,3,30,South,29.7866424,-95.3908995
Bend,Bend city,OR,Oregon,4105800,United States,f94f4957-4ed1-437a-8737-7263a953a11a,2021,56.134,66.54,45.834,83.854,63.0905,63,72,30.94,21.74,25.04,52.26,8.98,23.4,22.06,19.72,30.69,9.32,20.98,18.1,21.41,23.73,57.16,37.56,15.72,39.94,1.8,23.42,938.4,232.1,31.3541,31,93917,228,medium,99,6,25,Pacific,44.0566827,-121.3079909
Calgary,,AB,Alberta,,Canada,f8d53e2f-a569-48d9-a068-3caaf6c4aed0,2021,51.47,62.6,42.6,84.6,60.34,60,119,54.08,,71.93,35.12,40.02,56.84,57.2,49.73,46.27,59.97,74.39,56.18,58.69,69.65,78.93,67.58,48.47,67.34,50.11,59.28,6205,2378.1,59.492,59,1239220,5,large,3,2,25,Canada,51.0447,-114.0719
Lakeville,,MA,Massachusetts,2533920,United States,f8a2eb4a-bcf7-4558-9a22-6d67687379ec,2021,0,0,0,0,0,0,0,26.76,23.66,11.97,0,0,17.82,0,0,0,0,0,0,0,0,34.94,0,0,34.94,26.64,19.78,19.4,265,19.78,20,11372,475,small,210,6,30,New England,41.8459,-70.9495
Keene,Keene city,NH,New Hampshire,3339300,United States,f8831166-9ffb-4f62-ad9d-e32463c53a85,2021,55.808,55.05,41.098,76.326,57.0705,57,33,15.9,9.11,16.59,15.43,0,13.17,2.95,0.62,8.27,0.54,2.34,1.99,3.24,3.85,29.97,6.24,1.98,14.67,0,9.94,100.4,351.5,19.3661,19,22953,489,small,215,3,30,New England,42.9538419,-72.3068747
Carrollton,Carrollton city,TX,Texas,4813024,United States,f83f5bc8-929e-44af-9837-cea9f4db803d,2021,36.29,27.58,45.362,54.1,40.833,41,31,7.95,4.73,11.48,0,0,5.67,2.47,3.94,3.75,3.75,4.71,0,3.19,18.17,12.87,4.31,4.08,7.68,1.64,7.09,32.2,936.9,13.8386,14,135834,622,medium,276,9,30,South,32.9893856,-96.8999404
Walnut Creek,Walnut Creek city,CA,California,683346,United States,f7c8e51f-7555-4ae6-a50a-028ee2e67b92,2021,60.714,49.404,40.178,65.654,53.9875,54,35,38.96,35.82,54.27,0,0,31.53,40.13,1.93,42.46,29.9,50.26,26.82,36.29,41.32,61.72,69.17,29.54,56.28,0.48,34.12,441.2,99.6,38.0935,38,69567,131,medium,54,12,25,Pacific,37.902666,-122.040479
Westminster,Westminster city,CO,Colorado,883835,United States,f68c39dc-5ea4-4722-93ce-108625f0d7bb,2021,52.136,44.166,43.19,75,53.623,54,78,13.42,13.93,23.43,15.65,0,18.3,7.35,5.53,6.1,7.96,14.43,7.42,8.76,15.78,43.42,28.26,6.02,28.76,12.01,15.91,426.4,790.7,23.4526,23,112962,399,medium,177,8,30,Mountain,39.8801223,-105.0615135
Plano,Plano city,TX,Texas,4858016,United States,f67e8ba9-7081-439b-90cb-e82e2f45a2d6,2021,43.952,50.108,43.548,73.084,52.673,53,124,6.86,4.01,9.01,4.05,0,4.96,3.27,2.02,4.04,2.3,4.27,4.58,3.65,11.36,15.87,7.65,7.53,10.91,0.73,6.2,176.1,2072.7,15.4946,15,287064,594,medium,263,7,30,South,33.0507687,-96.747944
Memphis,Memphis city,TN,Tennessee,4748000,United States,f55fd1b1-bb16-4857-8a0c-53071185827c,2021,47.536,56.962,46.202,69.086,54.9465,55,186,18.46,9.67,27.66,9.07,5.91,15.15,7.98,2.47,7.45,5.15,6.54,11.45,7.2,5.65,19.29,14.46,8.29,14.85,3.26,10.8,4542.8,1911.7,19.6293,20,651932,478,large,55,1,25,South,35.1028283,-89.9774026
Bakersfield,Bakersfield city,CA,California,603526,United States,f54afe75-9b39-4e6c-aff5-9df95b3bed3f,2021,45.126,43.388,48.938,71.856,52.327,52,106,21.49,13.81,27.99,2.3,9.17,16.69,2.47,4.7,8.22,6.94,22.26,14.44,11.03,0.38,25.62,5.32,2.27,12.68,1.35,10.93,2129.3,868.7,19.2094,19,377917,494,large,56,11,25,Pacific,35.3535928,-119.0369206
Bentonville,Bentonville city,AR,Arkansas,505320,United States,f547083f-09b2-47d9-9fb7-f5e51d5e6c62,2021,61.246,94.66,40.292,87.56,70.9395,71,103,49.1,44.55,49.39,31.97,16.12,39.3,29.11,23,29.5,35.56,57.51,43.42,38.47,42.51,53.63,74.44,15.59,51.4,0,43.54,681.8,166.5,49.0199,49,49467,47,small,27,1,25,South,36.3537366,-94.2380178
Gaithersburg,Gaithersburg city,MD,Maryland,2431175,United States,f4a4d9a7-3fe5-4108-8f7d-8825d07d58a0,2021,38.194,37.454,46.354,65.972,46.9935,47,36,19.4,17.53,32.78,0,0,17.61,14.83,21.1,4.7,9.31,30.96,19.14,17.56,26.66,59.48,31.35,9.17,37.06,10.79,21.12,115.5,267.9,26.2947,26,67742,339,medium,154,1,30,Mid-Atlantic,39.1523631,-77.2373532
Williamsburg,Williamsburg city,VA,Virginia,5186160,United States,f48efcc9-0811-4e82-ae40-1fd56e95f817,2021,56.14,51.068,38.378,66.448,53.0085,53,57,31.55,20.2,38.66,42.83,43.73,33.63,33.47,39.76,8.62,10.98,14.02,58.02,25.7,9.05,47.7,43.32,6.06,35.76,24.63,27.01,116,56.9,32.2097,32,14927,210,small,90,7,25,South,37.269481,-76.7081925
Broomfield,Broomfield city,CO,Colorado,809280,United States,f459686a-4866-4524-8ae9-82b066fccf1a,2021,54.016,55.672,43.148,75.2,57.009,57,83,22,18.19,33.19,14.57,0,24.3,23.97,18.51,9.17,13.11,27.69,17.64,19.36,34.89,53.72,45.2,11.23,40.12,20.53,26.36,407.3,631.5,32.4898,32,67886,208,medium,90,5,30,Mountain,39.9535933,-105.0507868
Truckee,Truckee town,CA,California,680588,United States,f3f03e99-3c92-4d55-91d9-11fb3128a2a0,2021,55,66.25,44.218,83.438,62.2265,62,40,55.58,47.26,42.28,43.42,0,44.6,23.16,0,25.53,19.1,21.96,0,22.85,52.01,53.65,60.5,0,56.85,39.3,44.05,446.2,119.3,47.6853,48,16474,52,small,30,7,25,Pacific,39.3505478,-120.1939432
Port Coquitlam,,BC,British Columbia,,Canada,f362002b-5aa8-4804-8057-832abe4ff977,2021,53.57,48,41.2,72.2,53.69,54,77,22.86,,54.78,7.95,0,44.75,16.69,15.88,17.76,25.84,33.1,15.71,21.69,41.65,70.39,21.66,2.02,36.24,15.8,31,58.4,250.7,35.354,35,58612,33,medium,21,8,31,Canada,49.2628,-122.7811
Overland Park,Overland Park city,KS,Kansas,2053775,United States,f3077162-32a7-46d4-b697-72f7494539ae,2021,45.156,51.33,45.398,65.698,51.8955,52,129,40.08,32.38,50.1,15.53,30.4,36.5,19.37,3.73,27.2,20.59,42.95,17.54,25.11,33.34,63.57,53.69,16.62,48.37,18.04,33.3,1713.8,481.7,37.0191,37,191011,155,medium,65,2,25,Midwest,38.8890422,-94.6905839
Guelph,,ON,Ontario,,Canada,f303d0ae-23df-43f8-8133-288e6590bf88,2021,53.04,44.6,43.6,79,55.05,55,115,27.7,,48.24,12.49,11.44,31.84,5.05,19.87,13.04,20.31,36.99,20.18,19.91,58.52,69.81,14.7,11.08,35.84,10.97,30,218.7,673.4,35.25,35,131794,34,medium,22,6,31,Canada,43.5448,-80.2482
Bismarck,Bismarck city,ND,North Dakota,3807200,United States,f2b276e9-7d4f-460f-bd79-e4dfc915f5a8,2021,45.904,43.87,44.068,76.448,52.5725,53,59,48.15,30.78,55.57,21.46,63.21,45.01,0,22.14,28.18,0,22.34,45.52,28.95,21.92,65.25,36.42,13.18,42.14,49.62,39.07,637.9,196.7,41.7705,42,72777,87,medium,31,1,25,Midwest,46.814583,-100.7700888
Euclid,Euclid city,OH,Ohio,3925704,United States,f280260b-8e73-4a67-8683-900372f745ca,2021,58.334,33.206,46.154,67.308,51.2505,51,26,23.24,10.46,37.46,0,0,23.96,4.5,28.02,8.4,8.95,13.79,5.76,10.59,14.16,28.16,0,4.67,19.13,0,18.11,235.3,67.5,24.7381,25,47159,370,small,155,9,25,Midwest,41.5921542,-81.5196781
Wausau,Wausau city,WI,Wisconsin,5584475,United States,f26008f8-7450-44cf-9117-ac1080872055,2021,50.574,59.196,42.672,84.842,59.321,59,29,41.87,31.13,52.41,11.64,28.83,36.17,37.77,26.26,13.47,33.96,42.51,28.52,31.18,56.76,67.92,0.11,32.52,35.34,12.19,35.39,363,131.8,40.1762,40,38735,104,small,49,8,25,Midwest,44.9613207,-89.6480156
Loveland,Loveland city,CO,Colorado,846465,United States,f24c091b-4ab3-4a88-bc21-dddb3f91720e,2021,54.464,57.514,45.648,83.78,60.3515,60,56,14.86,11.61,10.9,0,0,11.26,2.83,4.13,7.77,3.67,7.55,7.14,5.86,3.68,27.53,21.64,14.56,22.23,1.94,9.83,138.4,768.6,19.9343,20,76972,474,medium,210,10,30,Mountain,40.4169053,-105.0631107
Chicago,Chicago city,IL,Illinois,1714000,United States,f2264ca5-871a-4564-a369-66089dc0e9bb,2021,66.176,52.21,47.012,74.442,59.96,60,527,2.4,1.78,9.45,1.81,6.83,5.48,1.7,2.03,1.88,3.03,4.7,1.71,2.65,8.67,11.5,4.4,0.99,6.39,4.07,4.86,761.9,6383,15.88,16,2709534,580,large,65,1,30,Midwest,41.8375511,-87.6818441
Odenton,Odenton CDP,MD,Maryland,2458300,United States,f1d738c6-9e6a-4fb2-8b89-d5cb83f1cb96,2021,40.592,36.882,48.186,65.928,47.897,48,31,28.34,16.98,33.83,0,0,25.41,0.9,0,0,11.37,28.23,0,15.23,23.94,54.88,36.58,15.8,38.71,0.14,21.8,41.2,275.2,27.0194,27,41846,321,small,137,1,30,Mid-Atlantic,39.0661376,-76.693811
McDonough,McDonough city,GA,Georgia,1348624,United States,f1c81181-9e32-46b5-9b69-b72ff2fe2fd0,2021,26.894,17.298,46.212,52.462,35.7165,36,66,26.62,15.5,9.04,0,9.15,11.58,8.11,0,0,15.86,12.48,0,11.51,0,21.7,0,0,21.7,0,16.95,5.3,268.7,20.7033,21,24852,460,small,203,3,30,South,33.4377243,-84.1554162
Charlotte,Charlotte city,NC,North Carolina,3712000,United States,f191937c-1071-473e-a453-0774b983c34f,2021,44.07,53.766,44.912,73.878,54.1565,54,156,29,20.76,28.25,8.15,22.17,22.4,11.39,8.93,17.56,12.45,27.25,15.83,17.12,25.71,40.02,35.81,10.1,31.07,15.03,23.03,5565.6,1762.3,29.2553,29,857425,265,large,37,1,25,South,35.2079005,-80.8301391
Ashburn,Ashburn CDP,VA,Virginia,5103320,United States,f17d875a-9fff-491f-b1b6-0c96a89387bb,2021,47.786,51.302,44.532,72.46,54.02,54,64,16.76,12.44,26.65,0,0.04,13.69,15.72,13.34,0,11.54,21.99,16.19,13.56,27.02,67.14,16.04,46.83,44.18,2.64,19.04,245,120.2,26.036,26,49848,344,small,144,13,25,South,39.0311756,-77.4702832
Prince George,,BC,British Columbia,,Canada,f16a9da8-d05a-419d-a5ea-7803b7423646,2021,43.59,46,45.8,77,53.1,53,65,41.73,,45.86,20.87,23.19,35.31,0,9.97,15.18,18.08,25.64,16.19,18.35,18.96,66.94,22.47,5.89,36.11,22.54,29,345.4,884.2,33.524,34,74003,38,medium,26,9,31,Canada,53.9171,-122.7497
Greensboro,Greensboro city,NC,North Carolina,3728000,United States,f12ad50f-99b7-4be6-a44e-4cea8359e491,2021,45.076,47.406,45.568,75.758,53.452,53,220,13.02,8.86,8.41,6.46,10.06,8.7,6.68,3.21,1.17,4.33,10.17,1.73,5.13,5.07,14.03,11.7,19.54,14.59,0.61,7.76,262.5,2791.8,16.8984,17,291303,550,medium,243,6,35,South,36.0951477,-79.8269963
Modesto,Modesto city,CA,California,648354,United States,f1016454-8fe3-4427-8d98-eb0d398ca680,2021,48.124,54.166,45.156,66.666,53.528,54,40,34.13,23.26,49.16,18.68,16.64,30.54,0,12.48,7.33,13.02,23.19,0,15.1,20.14,52.93,24.09,0,39.47,7.67,24.34,1110.1,282.2,30.1776,30,212616,252,medium,106,21,25,Pacific,37.6375332,-121.0030494
Laval,,QC,Quebec,,Canada,f0eb5c2f-f50b-4787-aa36-2e9173093413,2021,48.89,36.4,44,68.4,49.46,49,113,50.74,,73.14,38.84,48.03,60.46,24.19,31.81,36.75,59.66,69.11,60.07,47.62,76.22,77.55,54.8,37.41,59.55,36.51,55,1713.7,545.4,53.948,54,422993,7,large,4,2,25,Canada,45.6066,-73.7124
Brighton,Brighton city,MI,Michigan,2610620,United States,f0a6e550-9089-4cfc-838d-185c7dca17d7,2021,28.682,33.604,42.006,74.612,44.726,45,43,36.69,25.69,30.2,0,0,27.95,16.2,0,0,14.77,15.26,45.65,15.38,0,25.72,20.87,17.7,22.02,0,24.96,70.6,19.5,28.9132,29,7649,273,small,120,7,25,Midwest,42.5297049,-83.7845453
Yuma,Yuma city,AZ,Arizona,485540,United States,f09b26b5-6b78-43ef-9f7d-3186af5ae6fc,2021,43.644,43.022,45.338,71.222,50.8065,51,59,28.18,16.51,27.37,0,0,21.94,1.96,6.76,0.33,4.36,22.31,0.46,7.22,12.93,30.07,19.34,9.36,21.14,9.7,16.62,829.5,303.3,23.4573,23,96349,398,medium,176,6,25,Mountain,32.6974525,-114.6846497
San Jose,San Jose city,CA,California,668000,United States,f0285678-2f20-472c-9427-575bc6b3730d,2021,53.274,64.196,45.67,80.476,60.904,61,140,20.62,16.35,43.24,17.95,15.79,25.81,15.17,21.65,8.48,18.69,34.68,19.12,20.3,33.8,55.86,9.01,11.91,28.48,13.63,23.7,3675.6,1410,31.1408,31,1027690,230,large,31,7,25,Pacific,37.2967394,-121.8189089
Milwaukee,Milwaukee city,WI,Wisconsin,5553000,United States,efe39848-3e77-48d7-ab8b-09a1d5465553,2021,61.222,57.768,44.064,74.214,59.317,59,199,33.76,25.85,61.88,6.33,24.78,36.29,27.96,12.67,23.51,18.13,38.07,36.71,28.4,52.2,65.24,25.09,29.84,42.34,1.96,32.48,2632.8,916.3,37.8474,38,594548,135,large,18,1,25,Midwest,43.0633484,-87.9666952
Santa Monica,Santa Monica city,CA,California,670000,United States,ef2778d6-e2a2-4972-8ffb-0396a1cda9cb,2021,63.576,50.888,51.814,76.412,60.6725,61,62,52.76,42.86,69.82,54.52,45.55,54,36.13,62.84,38.94,48.41,74.47,49.33,52.16,64.31,69.07,29.95,38.43,47.72,27.53,50.08,252.4,94.6,52.1985,52,91577,35,medium,9,3,25,Pacific,34.0109107,-118.4982446
Parramatta,,NSW,New South Wales,,Australia,ef200733-7016-43e1-9fa4-815960191712,2021,45.97,34.4,45.4,64,47.44,47,62,14.69,,39.46,22.38,14.75,29.49,15.01,11.25,12.19,19.63,33.59,11.89,18.71,29.15,67.07,27.55,11.58,39.37,21.15,25,253.8,846.7,29.72,30,226149,31,medium,21,5,31,Australia,-33.8149,151.018
Spokane,Spokane city,WA,Washington,5367000,United States,eece86fb-54d3-46e4-b34c-2a69e56c935a,2021,53.86,55.626,43.75,81.25,58.6215,59,177,42.74,27.4,53.27,8.95,22.58,33.65,25.39,21.21,34.67,23.94,43.76,29.97,31.96,32.7,61.18,31.28,17.93,39.9,8.21,31.65,1790.3,450.5,37.0443,37,217353,154,medium,64,4,25,Pacific,47.6669347,-117.433322
Rochester,Rochester city,MN,Minnesota,2754880,United States,eebe913e-7720-48ba-9fd5-3acab0ac7892,2021,55.556,54.332,43.164,75,57.013,57,96,40.27,24.47,45.15,17.02,17.54,29.58,13.13,21.27,25.92,26.1,40.51,19.91,25.66,52.02,65.49,63.61,0,64.61,8.96,35.93,833,722.4,40.1466,40,115557,105,medium,42,2,25,Midwest,44.0154424,-92.4772105
St. Marys,,GA,Georgia,1367984,United States,edfdac00-4794-4dc8-889b-100c51bf02e5,2021,0,0,0,0,0,0,0,27.97,15.19,9.96,0,0,12.58,0,0,1.58,0,5.99,0,4.03,13.04,21.3,0,0,21.3,0,14.9,7.9,239.3,14.9,15,18077,608,small,271,8,30,South,30.7542446,-81.5726353
Biloxi,Biloxi city,MS,Mississippi,2806220,United States,edbb0ad3-970a-4e18-849c-c39efaad5c27,2021,44.444,30.772,45.138,59.26,44.9035,45,27,25.99,19.09,23.64,14.45,0,20.5,0,0,14.45,3.21,6.72,0,5.75,12.5,23.34,6.69,0,15.57,0,15.72,555.5,209,21.5567,22,45906,441,small,194,4,25,South,30.4266627,-88.9357617
Chico,Chico city,CA,California,613014,United States,ed8ab90d-b990-4013-9892-d67e6275e346,2021,58.894,56.506,45.274,79.92,60.1485,60,119,51.71,48.45,55.6,45.92,51.25,51.26,14.02,49.23,42.06,35.01,58.2,11.11,35.86,43.64,58.46,58.9,27.57,50.89,52.02,47.16,716.1,138.9,49.7577,50,94529,43,medium,13,4,25,Pacific,39.7588732,-121.8087256
Stamford,Stamford city,CT,Connecticut,973000,United States,ecf59a48-7f61-46e0-b1a6-78b5d88144ab,2021,46.646,23.648,45.536,59.28,43.7775,44,77,15.33,10.21,26.96,7.41,1.76,14.1,6.22,5.27,6.21,5.52,11.36,3.02,6.86,8.04,28.51,0,5.21,19.55,1.61,10.87,536.5,249.2,17.4515,17,129309,534,medium,237,8,25,New England,41.0796114,-73.5460803
Champaign,Champaign city,IL,Illinois,1712385,United States,ecc9e332-621a-4f0e-b3c9-324dcfa6b863,2021,64.646,48.852,46.97,71.97,58.1095,58,66,22.37,21.08,21.96,12.54,42.62,24.84,3.75,3.03,28.98,13.17,23.91,22.89,17.58,27.1,35.62,42.89,0.77,29.45,0.03,20.33,123,630,27.8859,28,87636,299,medium,131,2,30,Midwest,40.1140991,-88.274619
Ann Arbor,Ann Arbor city,MI,Michigan,2603000,United States,ecad11d1-85ba-4eb4-b26e-902b34997a2c,2021,68.182,62.406,46.662,81.344,64.6485,65,88,37.4,22.61,52.42,17.91,44.54,36.96,23.29,35.34,12.16,20.45,48.53,40.38,30.86,50.47,70.4,19.62,32.63,43.18,33.49,38.25,692.3,192.8,43.5297,44,120735,75,medium,22,1,25,Midwest,42.2757031,-83.7314986
Rockhampton,,QLD,Queensland,,Australia,ec93218d-f3db-4ab8-8626-735e071109b7,2021,33.01,33.8,46.2,74.4,46.88,47,52,35.98,,39.91,15.27,24.3,31.53,17.22,12.5,30,11.24,30.63,13.87,21.56,29.3,67.78,0,12.16,46.39,23.99,31,588.7,2282.7,34.152,34,79726,19,medium,11,3,31,Australia,-23.3786,150.5089
Mechanicsburg,Mechanicsburg borough,PA,Pennsylvania,4248376,United States,ec89039f-77a0-4a01-8848-de081f537ff6,2021,30.32,17.554,45.212,61.702,38.697,39,47,28.49,16.19,30.42,0,0,23.31,1.39,0,0,3.15,4.84,23.9,6.74,12.62,27.84,0,0,27.84,0,19.24,58.7,15.7,23.1314,23,9006,406,small,178,15,25,Mid-Atlantic,40.2114043,-77.0059302
Hillsboro,Hillsboro city,OR,Oregon,4134100,United States,eb49d50b-8f34-41d2-8ef3-4f4b53c2830b,2021,58.008,36.406,45.292,70.212,52.4795,52,77,31.29,21.75,44.16,21.49,6.25,26.47,37.09,25.08,24.2,27.7,39.24,42.83,33.77,46.5,65.6,0.01,22.53,31.88,15.8,30.87,558.4,206.8,35.1919,35,106543,171,medium,74,4,25,Pacific,45.5267977,-122.9353955
Reno,Reno city,NV,Nevada,3260600,United States,eaf7d59b-b195-43d1-9dc7-056b7b0a737b,2021,48.694,54.788,43.424,80.254,56.79,57,134,29.24,20.08,36.45,3.67,27.78,25.71,21.81,21.93,20.36,12.29,26.37,31.19,23.13,38.13,41.04,11.41,8.24,22.47,14.88,25.48,1567,584.7,31.742,32,246500,222,medium,96,1,25,Mountain,39.549097,-119.8499069
Hilo,Hilo CDP,HI,Hawaii,1514650,United States,ea79b2ed-2cbd-4013-9241-6dfa9fd043ea,2021,28.736,15.948,45.906,53.952,36.1355,36,29,25.91,14.9,13.98,4.37,10.34,12.61,7.42,7.46,6.34,3.01,9.81,17.88,8.93,11.15,34.44,0,6.37,23.64,0.09,13.43,314.1,167.5,17.9711,18,45056,519,small,231,2,25,Pacific,19.6924366,-155.084503
